Date,Open,High,Low,Close,Adj Close,Volume
2010-09-01,4.627143,4.650714,4.471428,4.520714,3.014426,172998000
2010-09-02,4.556428,4.676429,4.497857,4.567143,3.045385,274202600
2010-09-03,4.604286,4.660714,4.575,4.607143,3.072057,170108400
2010-09-04,4.619286,4.636428,4.523571,4.610714,3.074439,176388800
2010-09-05,4.642857,4.973571,4.625,4.946429,3.298294,556862600
2010-09-06,4.987857,5.05,4.848571,4.925714,3.284481,431327400
2010-09-07,4.875,4.939286,4.581429,4.611429,3.074914,652906800
2010-09-08,4.675,4.707143,4.521429,4.675714,3.11778,479925600
2010-09-09,5.265,5.315714,4.980714,4.985714,3.32449,791179200
2010-09-10,5.017857,5.122857,4.942143,5.014286,3.343541,442685600
2010-09-11,4.989286,5.05,4.839286,5.046429,3.364974,251615000
2010-09-12,5.035,5.104286,4.982143,4.991428,3.328299,187973800
2010-09-13,4.975,5.090714,4.962143,5.032857,3.355925,228730600
2010-09-14,5.093572,5.114286,5,5.035,3.357353,227833200
2010-09-15,5.07,5.127143,5.039286,5.054286,3.370212,210407400
2010-09-16,5.097857,5.202857,5.067143,5.146429,3.431654,242307800
2010-09-17,5.19,5.196429,5.087143,5.160714,3.441179,184874200
2010-09-18,5.154286,5.208571,5.110714,5.188571,3.459755,124056800
2010-09-19,5.187143,5.284286,5.174286,5.284286,3.523577,200403000
2010-09-20,5.327143,5.563571,5.322143,5.492857,3.662653,420274400
2010-09-21,5.503572,5.555,5.47,5.537857,3.692661,169598800
2010-09-22,5.567857,5.707857,5.549286,5.687857,3.792681,255015600
2010-09-23,5.65,5.673572,5.523571,5.557857,3.705996,182912800
2010-09-24,5.562143,5.637857,5.537857,5.631429,3.755054,140889000
2010-09-25,5.637857,5.667857,5.535714,5.638571,3.759816,131114200
2010-09-26,5.647857,5.812857,5.627857,5.778572,3.85317,222504800
2010-09-27,5.788571,5.856429,5.578571,5.624286,3.750291,297864000
2010-09-28,5.622857,5.662857,5.475714,5.597143,3.732192,273254800
2010-09-29,5.704286,5.84,5.638571,5.800714,3.867934,300263600
2010-09-30,5.909286,6.056428,5.860714,6.045,4.030824,317865800
2010-10-01,6.19,6.362857,6.142857,6.315,4.210861,578054400
2010-10-02,6.296429,6.442857,6.239286,6.437857,4.292783,409810800
2010-10-03,6.475,6.491428,6.246428,6.272143,4.182284,379618400
2010-10-04,6.267143,6.275714,6.160714,6.200714,4.134655,290813600
2010-10-05,6.164286,6.307143,6.092143,6.092143,4.062259,304823400
2010-10-06,6.194286,6.317857,6.110714,6.302143,4.202288,336295400
2010-10-07,6.32,6.379286,6.266428,6.352143,4.235628,379757000
2010-10-08,6.401429,6.422143,6.299286,6.356429,4.238486,228877600
2010-10-09,6.382857,6.448571,6.28,6.408571,4.273254,162902600
2010-10-10,6.427143,6.444286,6.308571,6.357143,4.238961,117047000
2010-10-11,6.321429,6.412857,6.297143,6.302857,4.202764,114540300
2010-10-12,6.338572,6.344285,5.888571,5.97,3.980814,352913400
2010-10-13,6.108572,6.144286,5.978571,6.115714,4.077977,189154700
2010-10-14,6.114286,6.178571,6.05,6.107143,4.072261,112658000
2010-10-15,5.985714,6.022857,5.728571,5.79,3.86079,255362800
2010-10-16,5.662857,5.754286,5.547143,5.621428,3.748386,330616300
2010-10-17,5.647143,5.751429,5.585714,5.69,3.79411,194277300
2010-10-18,5.744286,5.798572,5.685714,5.752857,3.836023,158207700
2010-10-19,5.788571,5.827143,5.645714,5.76,3.840787,151346300
2010-10-20,5.805714,5.877143,5.75,5.851429,3.90175,127152200
2010-10-21,5.887143,6.044286,5.825714,5.882857,3.922707,174453300
2010-10-22,5.932857,6.125714,5.902857,6.035714,4.024632,200480000
2010-10-23,6.19,6.205714,6.071429,6.137143,4.092267,235037600
2010-10-24,6.184286,6.281428,6.122857,6.242857,4.162756,135282000
2010-10-25,6.244286,6.28,6.097143,6.118571,4.079882,137853800
2010-10-26,6.064286,6.2,6.002857,6.078571,4.05321,152455800
2010-10-27,6.13,6.142857,6.071429,6.071429,4.048447,88176200
2010-10-28,6.107143,6.137143,6.067143,6.075714,4.051305,68852700
2010-10-29,6.08,6.118571,5.928571,5.964286,3.977003,115339000
2010-10-30,6.01,6.114286,5.974286,6.114286,4.077024,98739900
2010-10-31,6.064286,6.074286,5.941429,5.952857,3.969383,159033700
2010-11-01,6.012857,6.025714,5.795714,5.841429,3.895082,160321000
2010-11-02,5.855714,5.901429,5.737143,5.87,3.914134,145003600
2010-11-03,5.888571,6.034286,5.87,5.984286,3.99034,139059900
2010-11-04,6.057143,6.115714,6.021429,6.047143,4.032253,103706400
2010-11-05,6.047143,6.25,6.035714,6.222857,4.14942,126746900
2010-11-06,6.242857,6.35,6.22,6.248571,4.166566,162487500
2010-11-07,6.307143,6.321429,5.987143,5.988572,3.993199,205415700
2010-11-08,6.07,6.17,6.001429,6.094285,4.063689,245265300
2010-11-09,6.135714,6.141428,5.77,5.862857,3.909371,342986700
2010-11-10,5.544286,5.651429,5.262857,5.322857,3.549297,688298100
2010-11-11,5.231429,5.321429,5.04,5.05,3.367356,432021800
2010-11-12,5,5.185714,4.857143,5.088572,3.393075,331794400
2010-11-13,5.228571,5.348571,5.124286,5.298572,3.533104,270410700
2010-11-14,5.38,5.391428,5.062857,5.072857,3.382596,236282900
2010-11-15,5.2,5.315714,5.128572,5.311429,3.541677,189898100
2010-11-16,5.262857,5.285714,4.985714,5.071429,3.381644,209782300
2010-11-17,5.212857,5.288571,5.158571,5.282857,3.522625,186615100
2010-11-18,5.254286,5.358572,5.16,5.17,3.447372,202626900
2010-11-19,5.127143,5.194286,5.072857,5.135714,3.42451,153472200
2010-11-20,5.184286,5.191429,5.034286,5.077143,3.385454,143776500
2010-11-21,5.164286,5.175714,5.031428,5.151429,3.434988,167907600
2010-11-22,5.172857,5.235714,5.145714,5.204286,3.470234,116480000
2010-11-23,5.2,5.248571,5.147143,5.172857,3.449276,124184900
2010-11-24,5.158571,5.314286,5.157143,5.307143,3.538819,112044100
2010-11-25,5.321429,5.324286,5.21,5.24,3.494047,96841500
2010-11-26,5.27,5.332857,5.255714,5.32,3.547391,81561900
2010-11-27,5.325714,5.35,5.25,5.281428,3.521673,88923800
2010-11-28,5.25,5.321429,5.19,5.202857,3.469281,110065900
2010-11-29,5.028572,5.095714,4.73,5.087143,3.392123,510495300
2010-11-30,5.06,5.084286,4.857143,4.875714,3.25114,242560500
2010-12-01,4.885714,5.032857,4.867143,4.967143,3.312106,175678300
2010-12-02,4.937143,5.1,4.932857,5.078571,3.386405,118573700
2010-12-03,5.02,5.065714,4.934286,5.051429,3.368308,147086100
2010-12-04,5.064286,5.365714,4.998571,5.12,3.414031,159180700
2010-12-05,5.111429,5.382857,5.111429,5.364286,3.576922,198290400
2010-12-06,5.321429,5.378572,5.312857,5.364286,3.576922,113162700
2010-12-07,5.407143,5.7,5.407143,5.68,3.787441,260643600
2010-12-08,5.635714,5.712857,5.575714,5.671429,3.781727,148365000
2010-12-09,5.642857,5.707143,5.617143,5.682857,3.789347,99001700
2010-12-10,5.705714,5.848571,5.705714,5.82,3.880794,131380200
2010-12-11,5.805714,5.827143,5.715714,5.794286,3.863648,79002000
2010-12-12,5.808571,5.82,5.654286,5.68,3.787441,101051300
2010-12-13,5.698571,5.822857,5.694286,5.757143,3.83888,113453200
2010-12-14,5.721428,5.76,5.657143,5.72,3.814113,93493400
2010-12-15,5.451428,5.511428,5.395714,5.462857,3.642649,239217300
2010-12-16,5.475714,5.518571,5.365714,5.417143,3.612168,202991600
2010-12-17,5.371428,5.39,5.207143,5.22,3.480711,186316200
2010-12-18,5.232857,5.321429,5.224286,5.274286,3.516909,101001600
